country_year,country,year,electexec,electleg,electboth,v2xel_elecpres,v2xel_elecparl,AF.el_rating,PEI.el_rating,VDEM.el_rating,PEI.EMB_cap,VDEM.EMB_cap,PEI.protest,VDEM.turnout,VDEM.VAP_turnout,nelda17,nelda18,nelda11,nelda45,nelda46,nelda3,nelda4,nelda5,nelda29,nelda30,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parcomp,FH.fh_total,WB.GDP_ppc,WB.FDI,WB.inflation,WB.gini,WB.urban_pop,literacy_imputed,VDEM.yrs_education,press_freedom,VDEM.elec_viol,VDEM.international_monitors_present,VDEM.access_to_public_services_social_group,VDEM.access_to_public_services_pol_group,VDEM.regime_support_by_an_ethnic_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_support_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_duration_group,after_non_violent_number_of_events,after_non_violent_number_of_fatalities,after_violent_number_of_events,after_violent_number_of_fatalities,before_non_violent_number_of_events,before_non_violent_number_of_fatalities,before_violent_number_of_events,before_violent_number_of_fatalities,on_date_non_violent_number_of_events,on_date_non_violent_number_of_fatalities,on_date_violent_number_of_events,on_date_violent_number_of_fatalities,events_before,events_after,fatilities_before,fatilities_after,change_in_events,change_in_fatalities,change_in_violent_events,change_in_non_violent_events,change_in_violent_fatalities,change_in_non_violent_fatalities
Algeria-2002,Algeria,2002,No,Yes,No,0,1,NA,NA,1.053,NA,2.752,NA,46.17,45.08,1,0,1,0,NA,1,1,1,1,1,0,-3,7,3,11,3297.61281111413,1064960000,1.41830192345045,NA,61.501,69.8734970092773,6.62,33,3.614,0,1.288,0.862,0,0,0,1,0,66,301,6,0,62,292,0,0,2,1,68,67,292,301,-0.014705882352941124,0.03082191780821919,0.06451612903225801,-0.8333333333333334,0.03082191780821919,NA
Algeria-2004,Algeria,2004,Yes,No,No,1,0,NA,NA,1.37,NA,2.752,NA,58.07,53.6,1,0,0,1,1,1,1,1,1,NA,0,2,0,3,11,3592.64530104949,884749028,3.96180030257191,NA,63.061,72.648681640625,6.79,40.33,3.62,1,1.288,0.862,0,0,0,6,0,40,61,3,0,21,10,0,0,10,0,24,46,10,61,0.9166666666666667,5.1,0.9047619047619047,1,5.1,NA
Algeria-2007,Algeria,2007,No,Yes,No,0,1,NA,NA,1.694,NA,2.752,NA,35.51,32.02,0,0,1,0,NA,1,1,1,0,NA,0,2,3,3,11,3828.14847629173,1686736539.70385,3.67899574741703,NA,65.348,75.1360473632813,7.045,31.33,3.121,0,1.288,0.862,0,0,0,0,0,90,160,3,0,93,217,0,0,0,0,96,90,217,160,-0.0625,-0.2626728110599078,-0.032258064516129004,-1,-0.2626728110599078,NA
Algeria-2009,Algeria,2009,Yes,No,No,1,0,NA,NA,1.548,NA,2.752,NA,74.56,65.86,0,0,1,1,0,1,1,1,1,1,0,2,5,3,11,3851.21377722335,2746930734.16534,5.73706036145632,NA,66.826,81.4078369140625,7.215,47.33,2.767,1,1.288,0.862,0,0,0,16,0,62,189,6,0,44,117,0,0,1,0,50,78,117,189,0.56,0.6153846153846154,0.40909090909090917,1.6666666666666665,0.6153846153846154,NA
Algeria-2012,Algeria,2012,No,Yes,No,0,1,NA,NA,1.737,NA,2.752,NA,43.14,38.7,1,0,1,1,1,1,1,1,0,NA,0,2,8,3,11,4012.36150559795,1500402452.8635,8.89145091062314,NA,68.915,81.4078369140625,7.3,36.54,2.77,1,1.288,0.862,0,0,0,14,0,47,53,4,0,34,87,0,0,1,0,38,61,87,53,0.605263157894737,-0.3908045977011494,0.38235294117647056,2.5,-0.3908045977011494,NA
Algeria-2014,Algeria,2014,NA,NA,NA,1,0,NA,3.75,1.593,35.15625,2.368,48.75,49.42,43.57,0,0,1,1,1,1,1,1,1,1,0,2,10,3,11,4112.07602394229,1502206170.55838,2.91692692067457,NA,70.221,81.4078369140625,7.3,36.63,2.892,1,1.288,0.862,0,0,0,12,0,32,68,59,2,70,76,0,0,6,0,129,44,78,68,-0.6589147286821706,-0.1282051282051282,-0.5428571428571429,-0.7966101694915254,-0.10526315789473684,-1
Algeria-2017,Algeria,2017,NA,NA,NA,0,1,NA,4.1666665,1.613,36.822918,2.255,49.244793,37.09,31.65,0,1,1,NA,NA,1,1,1,0,NA,0,2,13,3,11,4192.33769222334,1230243450.87889,5.59111590961673,NA,72.052,81.4078369140625,7.3,42.83,2.903,1,1.288,0.862,0,0,0,62,0,37,45,46,0,40,54,1,0,18,1,86,99,54,45,0.15116279069767447,-0.16666666666666663,-0.07499999999999996,0.34782608695652173,-0.16666666666666663,NA
Algeria-2019,Algeria,2019,NA,NA,NA,1,0,NA,NA,1.374,NA,0.867,NA,39.88,34.86,NA,0,1,0,NA,1,1,1,1,1,NA,NA,NA,NA,11,4115.39553969777,1381200049.59264,1.95176821052894,NA,73.189,81.4078369140625,7.3,45.75,2.015,0,1.144,0.862,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria-2021,Algeria,2021,NA,NA,NA,0,1,NA,NA,1.688,NA,1.546,NA,23.03,19.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,47.26,2.778,0,1,1.209,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola-2008,Angola,2008,No,Yes,No,0,1,NA,NA,1.781,NA,1.413,NA,87.36,92.42,1,0,1,1,1,1,1,1,0,NA,0,-2,11,4,11,4077.77684411643,1678971010,12.4758291326398,42.7,58.282,66.0301132202148,2.862,36.5,3.073,1,-0.34,-0.002,0.125,0,0,0,0,2,0,0,0,1,7,0,0,0,0,1,2,7,0,1,-1,1,NA,-1,NA
Angola-2012,Angola,2012,NA,NA,NA,0,1,NA,NA,1.808,34.659092,1.454,43.69318,62.75,71.58,0,1,1,1,0,1,1,1,NA,NA,0,-2,15,4,11,4167.12579657488,-1464627990.88284,10.2779049218839,NA,61.268,66.0301132202148,2.98,37.8,3.181,1,-0.223,-0.002,0.125,0,0,2,0,1,4,4,0,2,2,0,0,0,0,6,3,2,4,-0.5,1,-0.5,-0.5,1,NA
Angola-2017,Angola,2017,NA,NA,NA,0,1,NA,4.25,1.873,40.104168,1.497,49.088543,71.59,53.07,0,0,1,1,0,1,1,1,1,1,0,-2,20,4,12,3790.7915654469102,-7397295409.18991,29.8435866918797,NA,64.839,66.0301132202148,2.98,40.42,3.231,1,-0.223,-0.002,0.125,0,0,3,0,8,3,14,0,19,11,0,0,2,0,33,11,11,3,-0.6666666666666667,-0.7272727272727273,-0.5789473684210527,-0.7857142857142857,-0.7272727272727273,NA
Benin-2001,Benin,2001,Yes,No,No,1,0,NA,NA,2.756,NA,2.044,NA,87.74,86.3,0,0,1,1,1,1,1,1,0,NA,0,6,10,4,5,925.716073006309,16739539.3415636,3.98429547767895,NA,38.65,34.6578483581543,2.386,6,3.201,1,0.476,1.439,0.125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,NA,-1,NA,NA,NA
Benin-2003,Benin,2003,No,Yes,No,0,1,NA,NA,2.68,NA,2.044,NA,55.9,52.2,0,0,1,0,NA,1,1,1,0,NA,0,6,12,4,4,942.918587867681,10638088.2576383,1.48724246145442,38.6,39.536,28.7021102905273,2.498,5.5,3.551,0,0.476,1.439,0.125,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA
Benin-2006,Benin,2006,Yes,No,No,1,0,NA,NA,3.327,NA,2.922,NA,81.7,87.17,0,0,0,1,1,1,1,1,0,NA,0,7,15,4,4,952.831227239232,-12363482.3642044,3.78217696540374,NA,41.049,28.7021102905273,2.666,17,3.72,1,0.476,1.439,0.125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin-2007,Benin,2007,No,Yes,No,0,1,NA,NA,3.286,NA,2.9,NA,58.69,61.83,1,0,1,1,1,1,1,1,0,NA,0,7,16,4,4,981.455745386847,139189943.015454,1.29806813334154,NA,41.558,32.9488182067871,2.722,15,3.547,1,0.476,1.439,0.125,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,2,0,2,1,NA,1,NA,NA,NA
Benin-2011,Benin,2011,No,No,No,1,1,6.707,NA,2.801,NA,2.9,NA,84.82,68.39,0,0,0,1,1,1,1,1,1,1,0,7,20,4,4,989.767354468482,161302390.821902,2.70423907747279,43.4,43.608,32.9488182067871,2.89,NA,3.56,1,0.856,1.439,0.125,0,0,2,0,2,0,4,0,1,0,0,0,0,0,5,4,0,0,-0.19999999999999996,NA,1,-0.5,NA,NA
Benin-2015,Benin,2015,NA,NA,NA,0,1,NA,7.75,3.426,87.5,3.478,79.6875,65.91,56.69,1,0,0,1,1,1,1,1,0,NA,0,7,24,4,4,1076.79669785585,149755663.330268,0.218785923536177,47.8,45.695,42.3624000549316,2.89,28.97,3.358,1,0.856,1.439,0.125,0,0,0,0,3,2,2,0,2,1,1,0,0,0,4,3,1,2,-0.25,1,0.5,-1,1,NA
Benin-2016,Benin,2016,NA,NA,NA,1,0,7.2038,8.714286,3.534,86.60714,3.517,75.08929,66.13,58.35,0,0,0,1,0,1,1,1,0,NA,0,7,25,4,4,1082.4512883575,131790853.840786,-0.794050173906725,NA,46.229,42.3624000549316,2.89,NA,3.66,1,0.856,1.439,0.125,0,0,1,0,2,4,0,0,1,1,0,0,0,0,1,3,1,4,2,3,1,NA,3,NA
Benin-2019,Benin,2019,NA,NA,NA,0,1,NA,NA,1.253,NA,3.249,NA,22.99,19.23,1,0,1,1,0,0,1,1,1,0,NA,NA,NA,NA,6,1201.56138386125,218207871.715646,-0.70502663454275,NA,47.861,42.3624000549316,2.89,31.74,1.328,1,0.856,1.439,0.125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin-2021,Benin,2021,NA,NA,NA,1,0,NA,NA,1.736,NA,3.249,NA,50.63,44.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89,38.18,1.099,1,0.856,1.439,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana-2004,Botswana,2004,No,Yes,No,0,1,NA,NA,3.685,NA,3.533,NA,76.2,44,1,0,0,1,0,1,1,1,0,NA,0,8,38,4,4,4859.62896275333,390889251.855271,6.94570363654673,NA,55.488,86.8231811523438,9.423,14,3.882,1,1.897,1.275,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,-0.6666666666666667,NA,-1,-0.5,NA,NA
Botswana-2009,Botswana,2009,No,Yes,No,0,1,NA,NA,3.662,NA,3.435,NA,76.71,62.2,0,1,0,1,1,1,1,1,0,NA,0,8,43,4,5,5286.57491795748,208699298.206302,8.02729703109583,60.5,60.937,86.8231811523438,9.811,17.5,3.908,1,1.897,1.493,0.111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana-2014,Botswana,2014,NA,NA,NA,0,1,7.0472,7.6,3.562,74.645836,3.435,76.895836,84.75,55.09,1,0,0,1,1,1,1,1,0,NA,0,8,48,4,5,6895.57441329798,515184471.01724,4.40225309243433,NA,66.368,86.8231811523438,9.889,22.91,3.586,1,1.897,1.493,0.111,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,2,NA,NA,1,NA,NA
Botswana-2019,Botswana,2019,NA,NA,NA,1,1,NA,NA,2.629,NA,3.389,NA,83.14,53.24,0,0,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,5,7027.04535665129,93607130.0326021,2.7728644286333,NA,70.172,86.8231811523438,9.889,25.09,3.851,1,2.023,1.493,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso-2002,Burkina Faso,2002,No,Yes,No,0,1,NA,NA,2.36,NA,2.206,NA,64.14,33.47,0,1,0,1,1,1,1,1,0,NA,0,0,1,4,8,462.265599178223,15026083.66,2.17569480664608,NA,19.258,21.8229198455811,0.993,18,3.542,1,1.046,1.593,0.143,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso-2005,Burkina Faso,2005,Yes,No,No,1,0,NA,NA,2.706,NA,2.206,NA,57.66,36.4,0,0,0,1,1,1,1,1,0,NA,0,0,4,4,8,518.167867222496,52130040.8814284,6.41504018369687,NA,21.537,23.5221996307373,1.156,16,3.605,1,1.046,1.593,0.143,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0.5,NA,NA,0.5,NA,NA
Burkina Faso-2007,Burkina Faso,2007,NA,NA,NA,0,1,NA,NA,2.7,NA,2.206,NA,56.43,37.93,1,0,0,0,NA,1,1,1,0,NA,0,0,6,4,8,539.820017460504,21711800.9008661,-0.230627306273007,NA,22.996,28.2936592102051,1.265,13,3.607,0,1.046,1.593,0.143,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso-2010,Burkina Faso,2010,Yes,No,No,1,0,NA,NA,2.873,NA,2.206,NA,54.82,23,1,0,0,1,0,1,1,1,0,NA,0,0,9,4,8,582.415734139013,38870701.3569488,-0.764230734676734,NA,24.633,34.5993995666504,1.428,NA,3.629,1,1.107,1.593,0.143,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA
Burkina Faso-2012,Burkina Faso,2012,No,Yes,No,0,1,NA,NA,3.073,47.916668,2.233,39.583332,75.96,39.67,0,0,0,NA,NA,1,1,1,0,NA,0,0,11,4,8,622.519711182775,329281976.028321,3.81815240252386,NA,25.767,34.5993995666504,1.428,23.7,3.579,1,1.107,1.593,0.143,0,0,9,0,6,17,14,0,3,0,0,0,0,0,17,15,0,17,-0.11764705882352944,NA,1,-0.3571428571428571,NA,NA
Burkina Faso-2015,Burkina Faso,2015,NA,NA,NA,1,1,NA,8.222222,3.447,82.43056,2.564,81.5625,60,36.4,0,0,1,1,1,1,1,1,0,NA,0,6,0,4,7,653.32726813947,231901703.683869,0.724838981070599,NA,27.53,39.3458518981934,1.428,22.66,3.614,1,1.107,1.593,0.101,0,0,9,0,12,41,20,0,28,18,0,0,0,0,48,21,18,41,-0.5625,1.2777777777777777,-0.5714285714285714,-0.55,1.2777777777777777,NA
Burkina Faso-2020,Burkina Faso,2020,NA,NA,NA,1,1,NA,NA,3.343,NA,3.048,NA,50.79,28.88,0,1,1,1,0,1,1,1,0,NA,NA,NA,NA,NA,8,731.522070723226,148555726.3,1.88470066518846,NA,30.607,39.3458518981934,1.428,23.47,3.57,1,1.23,1.762,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi-2005,Burundi,2005,Yes,Yes,Yes,0,1,NA,NA,2.821,NA,2.992,NA,77.23,70.39,1,0,0,1,0,1,1,1,0,NA,0,6,0,4,8,295.737164631454,584701.692574561,13.2520699188223,NA,9.375,48.0840606689453,2.15,39.83,2.566,1,1.964,0.179,0.263,0,0,0,0,45,493,3,0,43,486,0,0,0,0,46,45,486,493,-0.021739130434782594,0.014403292181069949,0.04651162790697683,-1,0.014403292181069949,NA
Burundi-2010,Burundi,2010,No,No,No,1,1,NA,NA,1.161,NA,2.905,NA,76.98,58.69,0,0,1,1,1,1,1,0,1,1,0,6,5,4,10,313.311817914094,780582.003631939,6.49326591473996,NA,10.642,61.5134887695313,2.331,NA,1.849,1,2.036,0.292,0.429,0,0,0,0,28,95,5,0,78,94,0,0,2,0,83,28,94,95,-0.6626506024096386,0.010638297872340496,-0.641025641025641,-1,0.010638297872340496,NA
Burundi-2015,Burundi,2015,NA,NA,NA,1,1,NA,1.75,0.177,24.570312,2.751,32.5,74.32,55.53,0,1,1,1,1,1,1,1,0,NA,0,-1,0,3,13,305.549652502657,49622865.7705811,5.54468891259786,NA,12.078,68.3753280639648,2.331,54.1,0.089,1,2.036,0.292,0.429,0,0,156,0,624,472,281,4,1062,331,3,0,3,1,1343,780,335,472,-0.419210722263589,0.4089552238805969,-0.4124293785310734,-0.44483985765124556,0.42598187311178237,-1
Burundi-2020,Burundi,2020,NA,NA,NA,1,1,NA,NA,0.463,NA,3.097,NA,87.71,76.49,0,1,1,0,NA,1,1,1,1,1,NA,NA,NA,NA,13,270.691448734808,6057090.38,7.32110643415513,NA,13.708,68.3753280639648,2.331,55.33,1.211,0,1.509,0.267,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon-2002,Cameroon,2002,No,Yes,No,0,1,NA,NA,1.183,NA,0.682,NA,65.66,36.89,1,0,1,1,1,1,1,1,0,NA,0,-5,12,2,12,1143.98535454014,505256043.293607,2.83442260128067,NA,46.738,70.6799392700195,4.748,30.5,2.646,1,1.134,-0.025,0.2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,4,0,-1,-1,-1,NA,-1,NA
Cameroon-2004,Cameroon,2004,Yes,No,No,1,0,NA,NA,1.194,NA,0.884,NA,79.52,45.28,1,0,1,1,1,1,1,1,0,NA,0,-5,14,2,12,1223.93422880138,67984855.6422292,0.233647380067603,NA,47.94,70.6799392700195,4.836,20.5,2.407,1,1.134,-0.025,0.2,0,0,1,0,0,0,3,0,3,1,0,0,0,0,6,1,1,0,-0.8333333333333334,-1,-1,-0.6666666666666667,-1,NA
Cameroon-2007,Cameroon,2007,No,Yes,No,0,1,NA,NA,1.138,NA,0.884,NA,62.01,34.51,1,0,1,1,1,1,1,1,0,NA,0,-4,15,3,12,1248.66259859339,189581294.625153,0.921402245650111,42.8,49.746,70.6799392700195,4.968,36.9,2.237,1,1.134,-0.025,0.167,0,0,0,0,1,3,0,0,5,18,0,0,0,0,5,1,18,3,-0.8,-0.8333333333333334,-0.8,NA,-0.8333333333333334,NA
Cameroon-2011,Cameroon,2011,Yes,No,No,1,0,3.88686,NA,1.431,NA,1.323,NA,68.28,50.25,1,0,1,1,1,1,1,1,0,NA,0,-4,19,3,12,1255.4772399485,653266626.571786,2.93969946305094,NA,52.164,77.0710372924805,5.1,NA,2.602,1,1.134,-0.025,0.333,0,0,3,0,3,2,0,0,3,5,0,0,0,0,3,6,5,2,1,-0.6,0,NA,-0.6,NA
Cameroon-2013,Cameroon,2013,NA,NA,NA,0,1,NA,6,1.899,62.5,1.323,51.614582,76.79,37.55,1,0,0,1,1,1,1,1,0,NA,0,-4,21,3,12,1306.02747811535,547404749.757182,2.05908683974933,NA,53.373,77.0710372924805,5.1,38.13,2.835,1,1.134,-0.025,0.333,0,0,0,0,7,9,5,0,9,3,0,0,0,0,14,7,3,9,-0.5,2,-0.2222222222222222,-1,2,NA
Cameroon-2018,Cameroon,2018,NA,NA,NA,1,0,NA,3.2222223,0.942,38.194443,1.031,29.618055,53.5,29.06,1,0,1,1,0,1,1,1,1,1,1,-4,26,3,12,1437.27153388392,765092012.778526,1.0742994515814,NA,56.374,77.0710372924805,5.1,40.92,1.107,1,1.134,-0.025,0.333,0,0,35,0,192,488,36,0,207,542,0,0,6,3,243,227,542,488,-0.06584362139917699,-0.09963099630996308,-0.07246376811594202,-0.02777777777777779,-0.09963099630996308,NA
Cameroon-2020,Cameroon,2020,NA,NA,NA,0,1,NA,NA,1.102,NA,1.031,NA,43.79,23.24,NA,NA,1,1,0,1,1,1,0,NA,NA,NA,NA,NA,12,1419.67671120992,675186993.65287,2.43760882182242,NA,57.56,77.0710372924805,5.1,43.28,1.071,1,0.373,-0.327,0.333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cape Verde-2001,Cape Verde,2001,NA,NA,NA,1,1,NA,NA,3.687,NA,2.875,NA,58.94,71.69,0,1,0,0,NA,1,1,1,0,NA,0,10,10,5,NA,1983.29755839124,9010186.20568656,3.34996472317896,52.5,54.291,85.3277893066406,NA,NA,3.905,0,-0.384,1.11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cape Verde-2006,Cape Verde,2006,NA,NA,NA,1,1,NA,NA,3.75,NA,2.875,NA,54.18,79.98,1,0,0,1,0,1,1,1,0,NA,0,10,15,5,NA,2569.19219550195,131539968.034584,5.36907687065552,NA,58.529,85.3277893066406,NA,NA,3.866,0,-0.384,1.11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cape Verde-2011,Cape Verde,2011,NA,NA,NA,1,1,NA,NA,3.761,NA,3.101,NA,76.01,86.18,0,0,0,1,1,1,1,1,0,NA,0,10,20,5,NA,3091.22295968491,102246382.223796,4.47388342165027,NA,62.322,85.3277893066406,NA,NA,3.863,1,-0.384,1.11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
